Miss_muts	Drug	Balanced_Accuracy
0.0	EFV	0.9537268722080195
0.0	ETR	0.8868373337069411
0.0	NVP	0.9471203950167792
0.0	RPV	0.8578632478632479
0.1	EFV	0.9183401861959298
0.1	ETR	0.8246911197244028
0.1	NVP	0.9353129179382998
0.1	RPV	0.8031562383032972
0.2	EFV	0.8957886715080189
0.2	ETR	0.7930633307571078
0.2	NVP	0.9071358511915897
0.2	RPV	0.7509924242424242
0.3	EFV	0.8330724482618095
0.3	ETR	0.7419643359227367
0.3	NVP	0.8489702030260784
0.3	RPV	0.7483852518185351
0.4	EFV	0.7995684876588073
0.4	ETR	0.7109597628091625
0.4	NVP	0.8272093863265532
0.4	RPV	0.662491785991786
0.5	EFV	0.7550618489600162
0.5	ETR	0.6738165556553518
0.5	NVP	0.7744122325529122
0.5	RPV	0.6832009068565134
0.6	EFV	0.7025516224307211
0.6	ETR	0.6342818982705876
0.6	NVP	0.7227938227114997
0.6	RPV	0.6210164835164835
0.7	EFV	0.6494031574914036
0.7	ETR	0.5940133628595481
0.7	NVP	0.6764537001466017
0.7	RPV	0.5680529974903377
0.8	EFV	0.5950220642018091
0.8	ETR	0.556079468252814
0.8	NVP	0.607953586354068
0.8	RPV	0.5405506802196106
0.9	EFV	0.5505637484101453
0.9	ETR	0.5321825034868513
0.9	NVP	0.5590935673186918
0.9	RPV	0.5152447552447553
1.0	EFV	0.5
1.0	ETR	0.5
1.0	NVP	0.5
1.0	RPV	0.5
